coupon_id,coupon_type,duration
c1,type-0,4320000000
c2,type-0,5184000000
c3,type-0,7776000000
c4,type-0,8640000000
c5,type-0,15552000000
c6,type-0,17280000000
c7,type-1,86400000
c8,type-1,172800000
c9,type-1,1296000000
c10,type-1,1382400000
c11,type-1,2592000000
c12,type-1,2678400000
c13,type-1,3715200000
c14,type-1,5184000000
c15,type-1,5270400000
c16,type-1,15552000000
c17,type-2,432000000
c18,type-3,1000000
c19,type-3,36000000
c20,type-3,84200000
c21,type-3,86400000
c22,type-3,86500000
c23,type-3,172800000
c24,type-3,259200000
c25,type-3,345600000
c26,type-3,360000000
c27,type-3,432000000
c28,type-3,604300000
c29,type-3,604800000
c30,type-3,691200000
c31,type-3,864000000
c32,type-3,950400000
c33,type-3,1000000000
c34,type-3,1209600000
c35,type-3,1296000000
c36,type-3,1382400000
c37,type-3,1814400000
c38,type-3,2592000000
c39,type-3,2678400000
c40,type-3,2851200000
c41,type-3,2937600000
c42,type-3,3369600000
c43,type-3,3456000000
c44,type-3,3888000000
c45,type-3,4060800000
c46,type-3,4320000000
c47,type-3,5183999000
c48,type-3,5184000000
c49,type-3,6048000000
c50,type-3,7257600000
c51,type-3,7776000000
c52,type-3,7862400000
c53,type-3,8640000000
c54,type-3,9676800000
c55,type-3,10000000000
c56,type-3,10368000000
c57,type-3,11923200000
c58,type-3,12960000000
c59,type-3,13046400000
c60,type-3,13392000000
c61,type-3,14947200000
c62,type-3,15552000000
c63,type-3,15638400000
c64,type-3,15780000000
c65,type-3,25920000000
c66,type-3,28512000000
c67,type-3,31104000000
c68,type-3,31536000000
c69,type-3,31622400000
c70,type-3,60480000000
c71,type-3,99999999000
c72,type-3,864000000000
c73,type-4,1209600000
c74,type-4,2592000000
c75,type-4,4320000000
c76,type-4,5184000000
c77,type-4,7776000000
c78,type-4,8640000000
c79,type-4,15552000000
c80,type-4,31536000000
c81,type-4,63072000000
c82,type-5,604800000
c83,type-5,2592000000
c84,type-5,4320000000
c85,type-5,5184000000
c86,type-5,7776000000
c87,type-5,8640000000
c88,type-5,15552000000
c89,type-6,5184000000
c90,type-6,15552000000
c91,type-7,84200000
