payment_item_id,type,duaration,number_of_questions
p1,pass,5184000000,-1
p2,pass,15552000000,-1
p3,pass,31536000000,-1
p4,paygo,-1,2000
p5,pass,5184000000,-1
p6,pass,15552000000,-1
p7,paygo,-1,4000
p8,pass,10368000000,-1
p9,pass,31536000000,-1
p10,pass,5184000000,-1
p11,pass,15552000000,-1
p12,pass,31536000000,-1
p13,paygo,-1,4000
p14,pass,31536000000,-1
p15,-1,-1,-1
p16,pass,15552000000,-1
p17,pass,7776000000,-1
p18,pass,31536000000,-1
p19,pass,31536000000,-1
p20,pass,31536000000,-1
p21,pass,31536000000,-1
p22,pass,7776000000,-1
p23,pass,31536000000,-1
p24,pass,63072000000,-1
p25,pass,63072000000,-1
p26,pass,31536000000,-1
p27,pass,31536000000,-1
p28,pass,63072000000,-1
p29,pass,63072000000,-1
p30,pass,604800000,-1
p31,pass,1209600000,-1
p32,pass,15552000000,-1
p33,pass,31536000000,-1
p34,pass,31536000000,-1
p35,pass,5184000000,-1
p36,pass,7776000000,-1
p37,pass,31536000000,-1
p38,pass,15552000000,-1
p39,pass,7776000000,-1
p40,pass,7776000000,-1
p41,pass,5184000000,-1
p42,pass,15552000000,-1
p43,pass,5184000000,-1
p44,pass,5184000000,-1
p45,pass,31536000000,-1
p46,pass,31536000000,-1
p47,pass,5184000000,-1
p48,pass,15552000000,-1
p49,pass,86400000,-1
p50,pass,10368000000,-1
p51,pass,15552000000,-1
p52,pass,15552000000,-1
p53,pass,5184000000,-1
p54,pass,5184000000,-1
p55,pass,15552000000,-1
p56,pass,15552000000,-1
p57,pass,5184000000,-1
p58,pass,7776000000,-1
p59,pass,15552000000,-1
p60,pass,15552000000,-1
p61,pass,15552000000,-1
p62,pass,18144000000,-1
p63,pass,15552000000,-1
p64,pass,5184000000,-1
p65,pass,5184000000,-1
p66,pass,15552000000,-1
p67,pass,7776000000,-1
p68,pass,7776000000,-1
p69,pass,5184000000,-1
p70,pass,86400000,-1
p71,pass,86400000,-1
p72,pass,19440000000,-1
p73,pass,15552000000,-1
p74,pass,5184000000,-1
p75,pass,15552000000,-1
p76,pass,15552000000,-1
p77,pass,15552000000,-1
p78,pass,15552000000,-1
p79,pass,5184000000,-1
p80,pass,31536000000,-1
p81,pass,15552000000,-1
p82,pass,5184000000,-1
p83,pass,15552000000,-1
p84,pass,31536000000,-1
p85,pass,15552000000,-1
p86,pass,5184000000,-1
p87,pass,15552000000,-1
p88,pass,15552000000,-1
p89,pass,2592000000,-1
p90,pass,5184000000,-1
p91,pass,15552000000,-1
p92,pass,15552000000,-1
p93,pass,86400000,-1
p94,pass,5184000000,-1
p95,pass,10368000000,-1
p96,pass,31104000000,-1
p97,pass,5184000000,-1
p98,pass,15552000000,-1
p99,pass,15552000000,-1
p100,-1,-1,-1
p101,-1,-1,-1
p102,pass,15552000000,-1
p103,pass,15552000000,-1
p104,-1,-1,-1
p105,pass,6480000000,-1
p106,-1,-1,-1
p107,pass,18144000000,-1
p108,pass,86400000,-1
p109,pass,5184000000,-1
p110,-1,-1,-1
p111,pass,15552000000,-1
p112,pass,5184000000,-1
p113,pass,15552000000,-1
p114,pass,86400000,-1
p115,pass,15552000000,-1
p116,pass,15552000000,-1
p117,pass,15552000000,-1
p118,pass,2592000000,-1
p119,pass,5184000000,-1
p120,pass,10368000000,-1
p121,pass,5184000000,-1
p122,pass,10368000000,-1
p123,pass,2592000000,-1
p124,pass,4320000000,-1
p125,pass,8640000000,-1
p126,pass,8640000000,-1
p127,pass,6480000000,-1
p128,pass,12960000000,-1
p129,pass,12960000000,-1
p130,pass,4320000000,-1
p131,pass,8640000000,-1
p132,pass,8640000000,-1
p133,pass,2592000000,-1
p134,pass,4320000000,-1
p135,pass,8640000000,-1
p136,pass,4320000000,-1
p137,pass,8640000000,-1
p138,pass,8640000000,-1
p139,pass,86400000,-1
p140,pass,86400000,-1
p141,pass,8640000000,-1
p142,pass,8640000000,-1
p143,pass,8640000000,-1
p144,pass,86400000,-1
p145,pass,86400000,-1
p146,pass,4320000000,-1
p147,pass,8640000000,-1
p148,pass,2592000000,-1
p149,pass,6480000000,-1
p150,pass,12960000000,-1
p151,-1,-1,-1
p152,-1,-1,-1
p153,-1,-1,-1
p154,pass,86400000,-1
p155,pass,86400000,-1
p156,pass,2592000000,-1
p157,pass,4320000000,-1
p158,pass,8640000000,-1
p159,-1,-1,-1
p160,-1,-1,-1
p161,-1,-1,-1
p162,pass,2592000000,-1
p163,pass,4320000000,-1
p164,pass,8640000000,-1
p165,pass,1296000000,-1
p166,pass,31536000000,-1
p167,-1,-1,-1
p168,pass,8640000000,-1
p169,pass,8640000000,-1
p170,pass,15552000000,-1
p171,pass,2592000000,-1
p172,pass,4320000000,-1
p173,pass,8640000000,-1
p174,-1,-1,-1
p175,pass,8640000000,-1
p176,pass,8640000000,-1
p177,pass,4320000000,-1
p178,pass,2592000000,-1
p179,pass,4320000000,-1
p180,pass,8640000000,-1
p181,pass,4320000000,-1
p182,pass,8640000000,-1
p183,pass,8640000000,-1
p184,pass,8640000000,-1
p185,pass,8640000000,-1
p186,pass,432000000,-1
p187,pass,4320000000,-1
p188,pass,8640000000,-1
p189,pass,12960000000,-1
p190,pass,12960000000,-1
