timestamp,action_type,item_id,cursor_time,source,user_answer,platform
1567144866991,enter,b4484,,diagnosis,,mobile
1567144890954,respond,q5952,,diagnosis,a,mobile
1567144897002,submit,b4484,,diagnosis,,mobile
1567144897077,enter,b3176,,diagnosis,,mobile
1567144934774,respond,q4644,,diagnosis,b,mobile
1567144940321,submit,b3176,,diagnosis,,mobile
1567144940387,enter,b2482,,diagnosis,,mobile
1567144956075,respond,q3950,,diagnosis,b,mobile
1567144965268,respond,q3950,,diagnosis,d,mobile
1567144970114,submit,b2482,,diagnosis,,mobile
1567144970179,enter,b2557,,diagnosis,,mobile
1567145026948,respond,q4025,,diagnosis,a,mobile
1567145030830,submit,b2557,,diagnosis,,mobile
1567145030889,enter,b6992,,diagnosis,,mobile
1567145057590,respond,q9641,,diagnosis,a,mobile
1567145061767,submit,b6992,,diagnosis,,mobile
1567145061825,enter,b4745,,diagnosis,,mobile
1567145118813,respond,q6213,,diagnosis,d,mobile
1567145122480,submit,b4745,,diagnosis,,mobile
1567145122531,enter,b4775,,diagnosis,,mobile
1567145159465,respond,q6243,,diagnosis,a,mobile
1567145165117,submit,b4775,,diagnosis,,mobile
1567145289952,enter,b7390,,tutor,,mobile
1567145323035,respond,q10039,,tutor,c,mobile
1567145326164,submit,b7390,,tutor,,mobile
1567145326218,enter,e7390,,tutor,,mobile
1567145388861,quit,e7390,,tutor,,mobile
1567145388929,enter,b1465,,tutor,,mobile
1567145420370,play_audio,b1465,0,tutor,,mobile
1567145485849,pause_audio,b1465,68320,tutor,,mobile
1567145502908,respond,q1593,,tutor,c,mobile
1567145507326,submit,b1465,,tutor,,mobile
1567145507383,enter,e1465,,tutor,,mobile
1567145524942,play_audio,b1465,0,tutor,,mobile
1567145559847,pause_audio,b1465,35311,tutor,,mobile
1567145635213,quit,e1465,,tutor,,mobile
1567145650683,enter,b1368,,tutor,,mobile
1567145681839,play_audio,b1368,0,tutor,,mobile
1567145698869,pause_audio,b1368,17439,tutor,,mobile
1567145701848,respond,q1368,,tutor,b,mobile
1567145705052,submit,b1368,,tutor,,mobile
1567145705105,enter,e1368,,tutor,,mobile
1567145776359,quit,e1368,,tutor,,mobile
1567145776420,enter,b1239,,tutor,,mobile
1567145785988,play_audio,b1239,0,tutor,,mobile
1567145805473,pause_audio,b1239,19907,tutor,,mobile
1567145806455,respond,q1239,,tutor,a,mobile
1567145810314,submit,b1239,,tutor,,mobile
1567145810361,enter,e1239,,tutor,,mobile
1567145871169,play_audio,b1239,0,tutor,,mobile
1567145888779,pause_audio,b1239,17458,tutor,,mobile
1567145892789,quit,e1239,,tutor,,mobile
1567145892837,enter,b1354,,tutor,,mobile
1567145896763,play_audio,b1354,0,tutor,,mobile
1567145913616,pause_audio,b1354,17263,tutor,,mobile
1567145914303,respond,q1354,,tutor,c,mobile
1567145918236,submit,b1354,,tutor,,mobile
